Business ID,Business State,Total Long-term Debt,Total Equity,Debt to Equity,Total Liabilities,Total Revenue,Profit Margin
41872013,Kentucky,16889000,18046000,0.935886069,25986000,136753000,0.023663101
76232013,Iowa,6252000,18293621,0.341758474,14474000,34226553,0.265015089
160992013,Texas,19200000,177858000,0.107951287,72787000,384196000,0.130412602
197452013,Delaware,117592000,278773000,0.421819904,558749000,444306000,0.196767543
241042013,Illinois,4408000,52064000,0.084665028,19898000,121541000,0.168305346
252122013,Massachusetts,24583000,146044000,0.168325984,70950000,270950000,0.308082672
293322013,Tennessee,101759000,70771000,1.437862966,178095000,344374000,0.291293768
303022013,Texas,79382000,102163000,0.777013204,141712000,481788000,0.287587071
308312013,Massachusetts,232000,10646000,0.021792222,16031000,42753000,0.460365354
334882013,Indiana,4946000,87955000,0.056233301,54019000,132991000,0.164514892
390202013,New York,6000000,82452000,0.072769611,26457000,68932000,0.418542912
422282013,Alabama,5314000,24058479,0.220878469,23698000,137344716,0.510370679
497282013,New York,34026000,31994000,1.063511908,56941000,140946000,0.159436947
696332013,New York,14800000,40335000,0.366926986,23568000,71386000,0.331773737
753402013,New York,6903000,38730000,0.178233927,14511000,76066000,0.383101517
766052013,Indiana,55000000,82310000,0.668205564,91877000,594931000,0.161277526
887902013,MInnesota,6271000,13308000,0.471220319,19412000,52961000,0.271577198
919282013,New Jersey,701056000,827000000,0.847709794,2097855000,731421000,0.163070243
934562013,Ohio,263880000,-111297000,-2.370953395,592174000,719783000,0.320696654
959532013,Virginia,20904000,106098371,0.197024703,57162000,196751175,-0.006509872
968852013,New Jersey,1461000,2696434,0.541826724,9223000,7827258,0.151938009
993022013,New York,8017000,31650000,0.253301738,23397000,112296000,0.263642516
1015382013,Montana,1002000,11001991,0.091074425,3889000,11020829,0.059598874
1021092013,Maryland,25000,27033895,0.000924765,753000,15383877,0.284835676
1027522013,Virginia,90208000,186803000,0.48290445,193726000,471638000,0.141572562
1047772013,Pennsylvania,297000,13006000,0.022835614,24257000,30102000,0.552687529
1048972013,MInnesota,10169000,12137652,0.837806192,16481000,33965272,0.177983913
1056082013,Illinois,1598000,16567000,0.096456812,10147000,28227000,-0.71661884
2775952013,Alabama,1343464000,2858019000,0.470068254,3764193000,1256317000,0.297093807
3158522013,Texas,3140516000,2414452000,1.300715856,4884634000,1832253000,0.68939224
